분야,점검항목,세부내용,현재현황,정책요구사항,준수여부,위험도,보완방안,관련법규,비고
관리적,AI보안정책,SCM AI 보안정책,일반 정책에 포함,AI 전용 정책 필요,부분준수,상,AI보안정책 별도 수립,AI윤리가이드,
관리적,데이터거버넌스,AI학습데이터 관리,기본 관리,데이터 거버넌스 적용,부분준수,중,데이터 거버넌스 체계 구축,개인정보보호법,
관리적,AI모델관리,AI모델 생명주기 관리,수동 관리,자동화된 MLOps,부분준수,중,MLOps 플랫폼 구축,,
물리적,AI서버보안,SCM AI 서버 물리보안,서버실 관리,강화된 접근통제,부분준수,중,AI서버 전용구역,보안업무규정,
물리적,개발환경분리,AI 개발환경 물리분리,논리적 분리,물리적 분리 권고,부분준수,중,AI 개발 전용 구역,,
기술적,LLM보안,대형언어모델 보안,기본 방화벽,LLM 전용보안모듈,미준수,상,LLM 보안모듈 구축,,
기술적,프롬프트보안,프롬프트 인젝션 방어,미적용,프롬프트 필터링,미준수,상,프롬프트 보안시스템,AI보안가이드,
기술적,AI API보안,AI API 보안,기본 API 게이트웨이,AI 전용 게이트웨이,부분준수,상,AI API 보안 강화,,
기술적,모델무결성,AI모델 무결성 검증,해시값 검증,블록체인 기반 검증,부분준수,중,블록체인 모델 검증,,
기술적,데이터암호화,학습데이터 암호화,AES-256 적용,동형암호화 적용,부분준수,중,동형암호화 도입,,
기술적,추론보안,AI 추론 과정 보안,기본 보안,차분프라이버시,부분준수,중,차분프라이버시 적용,개인정보보호법,
기술적,연합학습보안,연합학습 보안,미적용,연합학습 보안체계,미준수,중,연합학습 플랫폼 구축,,
기술적,시뮬레이션보안,시뮬레이션 환경 보안,기본 보안,샌드박스 환경,부분준수,중,보안 샌드박스 구축,, 
기술적,센서데이터보안,센서 데이터 수집 보안,기본 암호화,End-to-End 암호화,부분준수,중,센서 E2E 암호화,,
기술적,AI로그관리,AI 시스템 로그 관리,기본 로깅,AI 전용 로깅,부분준수,중,AI 로깅시스템 구축,,
망분리,SCM망분리,SCM망 독립성,논리적 분리,물리적 분리 권고,부분준수,중,SCM망 물리적 분리,망분리가이드,
망분리,AI접근통제,AI시스템 접근통제,기본 인증,강화된 인증,부분준수,상,AI 전용 인증시스템,,
망분리,데이터전송보안,AI 데이터 전송 보안,TLS 적용,AI 전용 전송보안,부분준수,중,AI 데이터 전송 강화,,