위험도,취약점분류,취약점내용,영향도,발생가능성,보완방안,구현우선순위,예상비용,구현기간,담당부서,비고
상,드론통신보안,상호인증 미적용,높음,높음,TLS 상호인증 시스템 구축,1순위,3억원,3개월,IT/보안팀,즉시추진
상,SCM AI보안,LLM 보안모듈 부재,높음,중간,LLM 전용 보안모듈 개발,1순위,5억원,6개월,연구개발/IT팀,즉시추진
상,망간연동,드론-OT망 보안연동 미흡,높음,중간,물리적 분리 + 전용 보안장비,1순위,8억원,4개월,IT/보안팀,즉시추진
상,공급망보안,OT장비 공급업체 평가 부족,중간,높음,공급업체 보안인증 의무화,2순위,1억원,2개월,구매/보안팀,단기추진
상,프롬프트보안,프롬프트 인젝션 방어 부재,높음,중간,프롬프트 보안시스템 구축,2순위,2억원,4개월,연구개발팀,단기추진
상,주파수보안,FHSS 기술 부분적용,중간,높음,FHSS 고도화 및 안티재밍 강화,2순위,4억원,6개월,연구개발팀,단기추진
중,MILS이중화,망연계장비 단일구성,중간,중간,MILS 이중화 구성,3순위,3억원,3개월,IT팀,중기추진
중,패치관리,OT 패치관리 수동화,중간,중간,OT 전용 패치관리시스템,3순위,1.5억원,4개월,IT팀,중기추진
중,통합모니터링,망별 모니터링 분산,중간,낮음,통합 보안관제시스템 구축,4순위,6억원,8개월,IT/보안팀,중기추진
중,AI데이터보안,동형암호화 미적용,중간,낮음,동형암호화 기술 도입,4순위,3억원,6개월,연구개발팀,중기추진
하,보안교육,교육주기 부족,낮음,중간,보안교육 주기 단축,5순위,0.5억원,1개월,인사/보안팀,장기추진
하,물리보안,출입통제 강화,낮음,낮음,생체인식 시스템 확대,5순위,1억원,2개월,시설/보안팀,장기추진